phi,theta,psi
-0.212399023285668,0.843320717203505,0.0473703272658583
-0.212375104885765,0.843146425800063,0.0473958049309651
-0.212352241801681,0.842980459586276,0.0474205663136416
-0.212331034432276,0.842827213592333,0.0474439811814165
-0.212312083176413,0.842691082848419,0.04746541930182
-0.212295988432954,0.842576462384721,0.0474842504423811
-0.212283350600759,0.842487747231426,0.04749984437063
-0.212274770078691,0.842429332418721,0.0475115708540963
-0.212270847265611,0.842405612976791,0.0475187996603097
-0.212272182560382,0.842420983935824,0.0475209005567998
-0.212279376361864,0.842479840326006,0.0475172433110958
-0.212293029068919,0.842586577177524,0.0475071976907275
-0.21231374108041,0.842745589520565,0.0474901334632252
-0.212342112795197,0.842961272385314,0.0474654203961185
-0.212378744612142,0.843238020801959,0.0474324282569358
-0.212424235401874,0.843580185071448,0.0473905268132078
-0.212478308712668,0.843987762176243,0.047339172108408
-0.212538349069595,0.844452811289099,0.0472796682282983
-0.212601354478347,0.844966547815004,0.0472150946056797
-0.212664322944615,0.845520187158949,0.0471486024029035
-0.212724252474091,0.846104944725921,0.0470833427823216
-0.212778141072466,0.84671203592091,0.0470224669062858
-0.212822986745433,0.847332676148904,0.0469691259371479
-0.212855787498684,0.847958080814893,0.0469264710372592
-0.212873541337908,0.848579465323864,0.0468976533689716
-0.2128732462688,0.849188045080808,0.0468858240946375
-0.21285190029705,0.849775035490713,0.0468941343766081
-0.212806501428349,0.850331651958567,0.0469257353772352
-0.212734047668391,0.85084910988936,0.0469837782588707
-0.212631537022865,0.851318624688081,0.0470714141838668
-0.212495967497465,0.851731411759718,0.0471917943145745
-0.212324515388083,0.85207929359702,0.0473480698133459
-0.212118175990692,0.852361541599835,0.0475423752239283
-0.211881613375777,0.852582425598169,0.047771248609795
-0.211619639843749,0.852746307830036,0.0480293125143498
-0.211337067695021,0.852857550533451,0.0483111877986175
-0.211038709230002,0.852920515946426,0.0486114953236221
-0.210729376749102,0.852939566306978,0.0489248559503877
-0.210413882552733,0.85291906385312,0.0492458905399384
-0.210097038941305,0.852863370822865,0.0495692199532989
-0.209783658215228,0.852776849454229,0.0498894650514925
-0.209478552674914,0.852663861985226,0.0502012466955442
-0.209186534620772,0.852528770653869,0.0504991857464783
-0.208912416353214,0.852375937698173,0.0507779030653188
-0.20866101017265,0.852209725356152,0.0510320195130891
-0.20843712837949,0.85203449586582,0.0512561559508149
-0.208245583274146,0.851854611465988,0.0514449332395195
-0.208090249356296,0.851674464319604,0.0515930080584937
-0.207969838537341,0.851498555744062,0.0516985231361984
-0.207881295717815,0.851331411938239,0.0517659776381443
-0.207821564246305,0.85117755910101,0.051800546401962
-0.2077875874714,0.851041523431252,0.0518074042652801
-0.207776308741686,0.85092783112784,0.0517917260657281
-0.207784671405752,0.850841008389651,0.0517586866409363
-0.207809618812186,0.850785581415563,0.0517134608285332
-0.207848094309574,0.850766076404449,0.0516612234661493
-0.207897041246506,0.850787019555188,0.0516071493914134
-0.207953402971568,0.850852937066655,0.0515564134419555
-0.208014122833348,0.850968355137726,0.0515141904554044
-0.208076144180435,0.851137799967278,0.0514856552693905
-0.208136410361415,0.851365797754187,0.0514759827215423
-0.208191864724877,0.85165687469733,0.0514903476494901
-0.208239463772754,0.852015398897892,0.0515339248908633
-0.208277444169609,0.852439927530775,0.0516115519801217
-0.208306376819372,0.852921657517863,0.0517239277750183
-0.208327080749319,0.853451312381559,0.0518689739626153
-0.208340374986729,0.854019615644265,0.0520445608872913
-0.208347078558877,0.854617290828385,0.0522485588934272
-0.208348010493043,0.85523506145632,0.0524788383254016
-0.208343989816503,0.855863651050473,0.0527332695275946
-0.208335835556535,0.856493783133247,0.053009722844386
-0.208324366740416,0.857116181227045,0.0533060686201554
-0.208310402395424,0.857721568854268,0.0536201771992821
-0.208294761548836,0.858300669537321,0.0539499189261463
-0.20827826322793,0.858844206798605,0.0542931641451274
-0.208261726459983,0.859342904160522,0.0546477832006047
-0.208245970272272,0.859787485145477,0.0550116464369583
-0.208231813692076,0.86016867327587,0.0553826241985675
-0.208220027792041,0.86047845626971,0.0557585868243682
-0.208210795246217,0.860718519290697,0.0561371999091755
-0.208203903896333,0.860895036522049,0.0565153822016133
-0.20819913428469,0.861014206563436,0.0568898822085722
-0.208196266953593,0.861082228014528,0.057257448436943
-0.208195082445342,0.861105299474993,0.057614829393617
-0.208195361302241,0.861089619544501,0.057958773585485
-0.208196884066591,0.861041386822722,0.0582860295194378
-0.208199431280695,0.860966799909326,0.0585933457023669
-0.208202783486856,0.860872057403981,0.0588774706411626
-0.208206721227377,0.860763357906357,0.0591351528427162
-0.208211025044558,0.860646900016124,0.0593631408139184
